publishedAt,title,author,url,urlToImage,description
2017-12-09T02:02:22Z,The Latest: Crowd at rally chants 'Trump! Trump! Trump!',AP,https://economictimes.indiatimes.com/news/international/world-news/the-latest-crowd-at-rally-chants-trump-trump-trump/articleshow/61992577.cms,https://img.etimg.com/photo/49057298.cms,8:50 p.m.
2017-12-30T02:21:28Z,"Trump, Trump, Trump  the new racist chant against Latinos",San Jose Mercury,https://www.freerepublic.com/focus/f-news/3617986/posts,,"There is a new form of hate speech that white people use to poke at Latinos. It goes like this: Trump! Trump! Trump! As President Trump concludes his first year in office, his street cred as a bully, demagogue and racist is well established. And Latinos …"
2018-01-16T23:53:10Z,"On DACA, Trump is Trump is Trump",Editorials,http://www.nydailynews.com/opinion/daca-trump-trump-trump-article-1.3760776,http://assets.nydailynews.com/polopoly_fs/1.3760775.1516146682!/img/httpImage/image.jpg_gen/derivatives/landscape_1200/gop-2016-trump-conflicts.jpg,"If you ever find yourself nodding along as President Trump speaks, just wait a little; he’ll disappoint you soon enough."
2018-01-19T05:33:38Z,Can the Trump Economy Trump Trump?,Joel Kotkin,http://www.newgeography.com/content/005856-can-trump-economy-trump-trump?utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%3A+Newgeography+%28Newgeography.com+-+Economic%2C+demographic%2C+and+political+commentary+about+places%29,,"President Trump’s critics find it hard to give him credit for anything, especially given his extraordinary boastfulness. Yet Trump’s economic policies seem to be working. New job numbers are robust, GDP and wages continue to rise, stocks are soaring, unemploy…"
2018-01-24T09:00:00Z,Can the Trump Economy Trump Trump?,Nick Tell,http://www.nationalreview.com/article/455707/donald-trump-economic-boom-will-republicans-benefit-politically,http://c1.nrostatic.com/sites/default/files/uploaded/trump1200.jpg,"President Trump in the Oval Office after signing directives to impose tariffs, January 23, 2018. (Jonathan Ernst/Reuters) Editor’s Note : The following piece originally appeared in City Journal. It is reprinted here with permission. P resident Trump’s critics…"
2017-12-09T15:34:35Z,Trump,,https://lefterismavrogiannis.deviantart.com/art/Trump-719213527,https://orig00.deviantart.net/6478/f/2017/343/b/b/trump_by_lefterismavrogiannis-dbw78pj.png,
2017-11-11T22:23:44Z,TRUMP,,https://rb26082006.deviantart.com/art/TRUMP-714599513,https://img00.deviantart.net/3faa/i/2017/315/6/0/trump_by_rb26082006-dbtgcih.jpg,
2017-11-16T14:51:53Z,Trump,,https://jeremyr10.deviantart.com/art/Trump-715367648,https://img00.deviantart.net/50fc/i/2017/320/6/1/trump_by_jeremyr10-dbtwt7k.png,
2017-11-17T18:08:54Z,Trump,Rudolf Vychovaly,https://dribbble.com/shots/3956720-Trump,https://cdn.dribbble.com/users/300405/screenshots/3956720/trump-poster.gif,Trump
2017-11-04T18:23:21Z,Trump,,https://ashen-cold.deviantart.com/art/Trump-713369555,https://pre00.deviantart.net/2128/th/pre/f/2017/308/3/e/trump_by_ashen_cold-dbspzgz.png,This image doesn't have any political context and made by entertainment purposes only.
